term,pos,notes,is_case_sensitive,translation_zh_cn,notes_zh_cn
plum,noun,,false,,
somehow,adverb,,false,,
hearty,adjective,,false,,
case hardened,adjective,,false,表面硬化||硬化,做后缀时用（硬化碳钢），或（表面硬化碳钢）。
mutant,noun,,false,,
tin,noun,,false,,
charging handle,noun,,false,,
quivering,adjective,,false,,
crayfish,noun,,false,,
raptor,noun,,false,,
raptors,noun,,false,,
woodlouse,noun,,false,,
woodlice,noun,,false,,
water tiger,noun,,false,,
flatbread,noun,,false,,
junkyard,noun,,false,,
heavy armor,noun,,false,,
protective,adjective,,false,,
roof,noun,,true,,
spacetime,noun,,false,,
round,adjective,,false,,
securely tied together for easier transport. Disassemble to untie them.,,,false,,
cloth-padded,,,false,,
leather-padded,,,false,,
survivor,,,false,,
cormorant,,,false,,
wakizashi,,,false,,
zweihänder,,,false,,
nodachi,,,false,,
broadswords,,,false,,
atana,noun,,false,,
katana,noun,,false,,
kriegsmesser,noun,,false,,
falx,noun,,false,,
lupine,adjective,,false,,
bicycle,,,false,,
motorbike,,,false,,
Valhallist,noun,,false,北欧福音派,
ethanol,noun,,false,乙醇,
compartment,noun,,false,,
impale,,,false,穿刺,
barbed,,,false,带刺,
STANAG,,,false,,
-round,,,false,,
Carbines,,,false,,
Mossberg,,,false,,
Browning,,,false,,
Remington,,,false,雷明顿,
lever-action,,,false,,
pump-action,,,false,,
carbine,,,false,,
helical magazines,,,false,弹筒||螺旋弹匣,
Bellsystem,,,false,,
GEIGER COUNTER,,,false,,
Press any key,,,false,,
frozen liquids,,,false,,
Stateside,adverb,,false,,
Reception Manager,noun,,false,,
bionic power,,,false,,
nursing home,noun,,false,,
knuckles,noun,,false,,
co-op,noun,,false,,
ballistic vest,noun,,false,,
pressurized,,,false,,
Rivtech,noun,,false,,
nomad armor,noun,,false,,
to-hit bonus,,,false,,
microjet,noun,,false,微型导弹,
alpha,adjective,,false,,
Elf-A,adjective,,false,,
bird,noun,,false,,
chelator,noun,,false,,
blanket,noun,,false,,
directions,noun,,false,,
Silvergram,noun,,false,希瓦格兰,
gastonia,noun,,false,加斯顿龙,
panoplosaurus,noun,,false,胄甲龙,
euoplocephalus,noun,,false,包头龙,
scolosaurus,noun,,false,厚甲龙,
prosaurolophus,noun,,false,原栉龙,
saurolophus,noun,,false,龙栉龙,
lambeosaurus,noun,,false,赖氏龙,
hypacrosaurus,noun,,false,亚冠龙,
styracosaurus,noun,,false,戟龙,
einiosaurus,noun,,false,野牛龙,
achelousaurus,noun,,false,河神龙,
chasmosaurus,noun,,false,开角龙,
Hub 01,,,false,,
sauropod,noun,,false,,
polymer,,,false,聚合材料,
sledge hammer,noun,,false,长柄大锤,
canvas,noun,,false,帆布,
arrow rest,noun,,false,,
tileset,,,false,,
hauberks,noun,,false,长衣,
mitre saw,noun,,false,,
table saw,noun,,false,,
rack,,,false,,
great sword,noun,,false,巨剑,
rainbow,noun,,false,,
XEDRA,,,false,XEDRA,
Zastava,,,false,,
shrug,verb,,false,,
compsognathus,noun,,false,美颌龙,
stegoceras,noun,,false,顶角龙,
giant,adjective,,false,,
Jotunn,noun,,false,,
awfully,adverb,,false,,
LMOE,,,true,,
Shady Hills,noun,,false,Shady Hills,
juveniles,noun,,false,幼崽,
SugarRush,noun,,false,,
Greasy Prospector,noun,,false,,
venison,noun,,false,,
Pressin,,,true,,
Wraitheon,noun,,false,,
HWP,,,true,,
root cellar,,,false,,
lurker,,,false,,
anesthetic,,,false,,
pre-1900,,,false,,
hand guard,noun,,false,护手,
rotating bolt,,,false,,
unfermented,adjective,,false,,
mansion,noun,,false,,
amalgamations,noun,,false,,
phase immersion suit,noun,,false,,
modular defense system,noun,,false,,
environmental suit,noun,,false,,
charcoal,noun,,false,,
plot,noun,,false,,
lulo,noun,,false,,
UPS,noun,,true,,
(on),adjective,,false,,
(off),adjective,,false,,
hacksaw,noun,,false,,
hazmat suit,noun,,false,,
plasma torch,noun,,false,,
ASRG,noun,,true,,
raiding party,noun,,false,,
Arturo,noun,,true,阿图罗,
Theresa,noun,,false,特蕾莎,
Corrie,noun,,false,科里,
sugar beet,noun,,false,甜菜,
potato,noun,,false,土豆,
icons,noun,,false,圣像,
chit,noun,,false,,
chits,noun,,false,,
grocery store,noun,,false,,
convenience store,noun,,false,,
home improvement superstore,noun,,false,,
home improvement store,noun,,false,,
dive shop,noun,,false,,
head shop,noun,,false,,
butcher knives,,,false,,
police department,noun,,false,,
mobile home,noun,,false,,
skilled,adjective,,false,,
TsKBEM,noun,实验机器制造中央设计局，现俄罗斯科罗廖夫能源火箭航天集团的原名。,false,TsKBEM,
Gemma,noun,,false,杰玛,
Julian,noun,,false,朱利安,
plate armor,noun,,false,,
Jane,noun,,false,简,
Kostas,noun,,false,科斯塔斯,
Jerry,noun,,false,杰里,
Jeremiah,noun,,false,耶利米,
Darryl,noun,,false,达里尔,
Sonia,noun,,false,索尼娅,
Zachary,noun,,false,扎卡里,
Simon,noun,,false,西蒙,
Katherine,noun,,false,凯瑟琳,
light blue,adjective,,false,浅蓝,
quiver,noun,,false,,
sabaton,noun,,false,,
nuts,noun,,false,,
short string,noun,,false,,
short rope,noun,,false,,
long string,noun,,false,,
long rope,noun,,false,,
short cordage,noun,,false,,
long cordage,noun,,false,,
leather lace,noun,,false,,
arming sword,noun,,false,,
bare bones basecamp,noun,,false,,
modular field camp,noun,,false,,
chestplate,noun,,false,,
armguard,noun,,false,,
mitten gauntlet,noun,,false,,
hideworking,noun,,false,,
Russell,noun,,false,拉塞尔,
log pillars,noun,,false,,
glassblower's cottage,noun,,false,,
anchisaurus,noun,,false,近蜥龙,
recurve bow,noun,,false,,
stool,noun,,false,,
barstool,noun,,false,,
lbs,noun,,false,,
bionic implant,noun,,false,,
hardened,adjective,,false,硬化,主要用于描述表面硬化碳钢材质。
tempered,adjective,,false,回火,
Olwen,noun,,false,,
NECC,noun,,false,,
extinguisher,noun,,false,,
churned,adjective,,false,,
bar stool,noun,,false,,
deck chair,noun,,false,,
pellet,noun,,false,,
sintering furnace,noun,,false,,
post-apocalyptic,adjective,,false,,
riot control,adjective,,false,,
lamellae,noun,,false,,
lamellar,adjective,,false,鳞||鳞片,
jacket,noun,,false,,
turn,noun,,false,,
sledgehammer,noun,,false,长柄大锤,
fries,noun,,false,鱼苗,
book it,verb,,false,迅速离去,
fatigue,noun,,false,,
stow board,noun,,false,,
Humvee,noun,,false,,
SUV,noun,,false,SUV,运动型多功能车(Sports Utility Vehicle)
quantum,noun,,false,,
fittings,noun,,false,,
PSU,noun,,false,,
sturdy,adjective,,false,,
tempered glass,noun,,false,钢化玻璃,
storage,verb,,false,存储,
wire,noun,,false,,
social,,,false,,
Gain,,,false,获得,
computers,,,false,计算机||电脑,
health care,,,false,,
Social,,,false,,
mechanics,,,false,,
feral mechanics,,,false,,
devices,,,false,,
vehicles,,,false,,
athletics,,,false,,
fabrication,,,false,,
food handling,,,false,,
tailoring,,,false,裁缝,
survival,,,false,生存,
electronics,,,false,,
archery,,,false,,
marksmanship,,,false,,
launchers,,,false,重武器,
handguns,,,false,,
rifles,,,false,,
automatic rifles,,,false,,
sniper rifles,,,false,,
A7 laser rifles,,,false,,
flintlock rifles,,,false,,
base rifles,,,false,,
base rifle,,,false,,
semi-automatic rifle,,,false,,
semi-automatic rifles,,,false,,
automatic rifle,,,false,,
assault rifle,,,false,,
assault rifles,,,false,,
auto rifle,,,false,,
auto rifles,,,false,,
M16,,,false,,
G36,,,false,,
M27,,,false,,
burst rifles,,,false,,
burst rifle,,,false,,
BA10,,,false,,
SIG,,,false,,
AUG,,,false,,
pipe rifle,,,false,,
pipe rifles,,,false,,
vz. 58,,,false,,
combat rifles,,,false,,
combat rifle,,,false,,
tactical rifles,,,false,,
tactical rifle,,,false,,
battle rifles,,,false,,
Mosin,,,false,,
M3,,,false,,
M3E1,,,false,,
RM11B,,,false,,
scout rifles,,,false,,
scout rifle,,,false,,
RM51,,,false,,
RM88,,,false,,
recoilless rifles,,,false,,
recoilless rifle,,,false,,
full metal jacket,,,false,,
9x19mm,,,false,,
rail rifles,,,false,,
rail rifle,,,false,,
railgun rifles,,,false,,
railgun rifle,,,false,,
ion rifles,,,false,,
ion rifle,,,false,,
C7,,,false,,
throwing knives,,,false,,
throwing axes,,,false,,
throwing sticks,,,false,,
throwing,,,false,,
Knife Throwing,,,false,,
Throwing Assist,,,false,,
bashing weapons,,,false,钝击武器,
cutting weapons,,,false,斩击武器,
piercing weapons,,,false,刺击武器,
applied science,,,false,,
changeling,,,false,,
medical primer,,,false,医疗引物,
blocking effectiveness,,,false,,
blocked damage,,,false,,
block attempt,,,false,,
dodge attempt,,,false,,
intermediate,,,false,,
damage,,,false,,
blocking,,,false,,
reduced,,,false,,
move cost,,,false,行动点,
Bash,,,false,钝击,
bash damage,,,false,钝击伤害,
increased,,,false,,
decreased,,,false,,
Sneak Attack,,,false,,
Assassinate,,,false,,
Assassinate,noun,,false,,
Ninjutsu Takedown,noun,,false,,
Assassinate,noun,,false,,
Sneak Attack,noun,,false,,
Ninjutsu Takedown,noun,,false,,
techniques,noun,,false,,
Swift Strike (crit),noun,,false,,
technique,noun,,false,,
Enables,noun,,false,,
Lasts,noun,,false,,
turns,noun,,false,,
times,noun,,false,,
Stacks,noun,,false,,
dodge attempts,noun,,false,,
Dodging,noun,,true,,
Toad Style,noun,,false,,
pausing,noun,,true,,
Pausing,noun,,true,,
emergency wash station,,,false,,
pair,noun,,false,,
reach weapons,,,false,,
Trans Coastal,,,false,,
Manipulation,,,false,,
automatic rifle carbine,,,false,,
higher level,,,false,,
Toggle,,,false,,
item auto pickup,,,false,,
No Auto Pickup,,,false,,
no auto pickup zones,,,false,,
zomborg,,,false,,
zomborgs,,,false,,
Melee skills,,,false,,
books,noun,,false,,
book,noun,,false,,
kitchen station,,,false,厨房,
mounted kitchens,,,false,车载厨房,
mounted kitchen,,,false,车载厨房,
polesaw,,,false,长柄锯,
polesaws,,,false,长柄锯,
pierce,,,false,刺击,武器的一种伤害类型
expansion,,,false,膨胀,
cut,,,false,斩击,武器的一种伤害类型
gravity well,noun,,false,,
drum magazines,noun,,false,弹鼓,
radioactive,adjective,,false,,
hardpoint,noun,,false,,
block attempts,,,false,,
paramilitary zombies,,,false,准军事丧尸,
paramilitary zombie,,,false,准军事丧尸,
wretched hatcheries,,,false,邪恶孵化场,
wretched hatcherie,,,false,邪恶孵化场,
Needs to be placed and plugged into a power source.,,,false,,
You can take this down and plug it into a power grid to use it.,,,false,,
You can take this down and plug it into your own power grid to use it.,,,false,,
Plugged in and ready to go,,,false,,
You could press them into oil.,,,false,,
Could be fried and eaten.,,,false,,
RA,noun,,true,,
Lapua,noun,,false,拉普阿,
Bushmaster,noun,,false,大毒蛇,
Anglican,noun,,false,圣公宗,
self-aware,adjective,,false,,
brigandines||brigandine,,,false,布面甲||布面甲背心,
elbow guards,noun,,false,护肘,
shoulder guards,noun,,false,护肩,
diagonal,adjective,,false,对角,
motorcycle helmets,noun,,false,摩托头盔,
glareproof,noun,,false,防眩光,
Activate it to toggle the visor,,,false,激活它以调节面甲||激活它以调节面罩,
visor,noun,,false,面罩||面甲,
gambesons||gambeson,noun,gambeson与aketon类似，都是穿在护甲下的衬垫类衣物，唯一的区别是gambeson有时可单穿，而aketon专门穿在其他护甲下。都是绗缝工艺制作。,false,软铠,
moon tears,noun,,false,月之泪,
sleeveless,adjective,,false,无袖,"描写衣物，如果名字中同时有物品的材质，用括号写在后面。描写护甲，如果同类有不同钢材的尺寸的区别，不加括号写在物品名前面。
如：无袖风衣 ，发光毛皮防尘风衣（无袖） ， 无袖连体锁环衣（中碳钢XL）"
torso,noun,,false,躯干,
legs,noun,,false,下肢||腿,
arms,noun,,false,手部||手臂||武器,
tempered steel,noun,,false,回火碳钢,
quilted fabric,noun,绗缝是一种在双层布中填充棉花等材料的工艺。,false,,
arming pants,noun,感觉译为盔甲衬裤跟盔甲太强关联了，所以从裤子本身属性译为绗缝衬裤,false,绗缝衬裤||衬裤,
wool,adjective,,false,羊毛,
arming gloves,noun,,false,绗缝手套,
low quality steel,noun,,false,低碳钢,
high quality steel,noun,,false,高碳钢,
chainmail hauberks,noun,,false,锁环长衣,
low steel,noun,,false,低碳钢,
chain sleeveless jumpsuits,noun,,false,无袖连体锁环衣,
lamellar armor,noun,,false,鳞甲,
hardened steel,noun,,false,硬化碳钢,为缩减后缀名称长度，用（硬化碳钢）。可在描述中全称表面硬化碳钢。
knee guards,noun,,false,钢护膝,
steel,noun,,false,钢||钢制,
pemmican,noun,,false,干肉饼,
wool coifs,noun,,false,羊毛罩盔,
coifs,noun,,false,罩盔,
armored cloth,noun,,false,夹层布,绗缝工艺制成的软铠布料材质的称呼，自行决定叫啥..
synthetic fabric,noun,,false,人造纤维,
without sleeves,adjective,,false,无袖,
poor quality steel,noun,,false,低碳钢,
wreath,noun,,false,花环,
olive branch,noun,,false,橄榄枝,
tricolor,noun,,false,三色,
flag,noun,,false,旗帜,
golden,adjective,,false,黄金,
red,noun,,false,红,
green,noun,,false,绿,
horizontal,adjective,,false,水平,
black,adjective,,false,黑,
white,adjective,,false,白,
yellow,adjective,,false,黄,
shield,adjective,,false,盾牌,
spears,adjective,,false,矛,
horizontally,adjective,,false,水平,
gold,adjective,,false,金,
diagonally,adverb,,false,对角,
vertical,,,false,竖直,
coat of arms,,,false,盾徽,
hoist,,,false,旗杆,
triangle,,,false,三角,
bicolor,,,false,双色,
rectangle,,,false,矩形,
Nordic cross,,,true,北欧十字,
national emblem,,,false,国徽,
orange,,,false,橙,
vertically,,,false,竖直,
purple,,,false,紫,
arming mittens,,,false,绗缝连指手套,
FM,,,true,陆军手册,陆军手册(Field Manual)，field特指某领域应用而不是研究。对于如FM a-b.c，根据命名规则，a表示手册的大类，b表示子类，c表示子类下的某一领域。
mildew,noun,,false,,
Desert Tech,,,false,DT,
partial aventails,noun,,false,面颈甲,
chainmail aventails,noun,,false,面肩甲,
nasal helms,noun,,false,鼻盔,
turban helms,noun,,false,头巾盔,
tyrant,noun,,false,,
stego,noun,,false,,
horns,noun,,false,,
sweater,noun,,false,,
sweaters,noun,,false,,
MRAD,,,false,Multi-role Adaptive Design(多用途适应性设计),指可更换枪械口径与进行各种改装。
SMR,,,false,Single Mission Rifle(单用途步枪),指不能更换出厂的口径与后托，价格会比可更换版本更便宜。
Thompson,,,false,汤普森,
inch,,,false,英寸,
ryūsei,noun,,false,流星,
soap,adjective,,false,,
flakes,noun,,false,,
superglue,noun,,false,,
blades,noun,,false,,
spring,noun,,false,,
hai-date,,,false,胫甲,
Challenge -,,,false,,
storage,,,false,,
faux fur,,,false,人造毛皮,
tactical pants,,,false,战术裤,
cast iron,,,false,铸铁,
ingots,,,false,锭,
Fishing:,,,false,捕鱼：,
sanctuary,noun,,false,,
sky island,noun,,false,,
dotted,adjective,,false,,
warp sickness,,,false,翘曲失调,
warp disintegration,,,false,翘曲解体,
warpstream,,,false,翘曲洪流,
Infinitree,,,false,,
warp shard,,,false,翘曲碎片,
Item must be,,,false,,
self healing polymer||self healing polymers,,,false,自修复聚合物,
ichor||ichors,noun,,false,神血,
caster level,noun,,false,施法等级,
biomancer booster sludge,noun,,false,生化术士强化浆,
domination school,noun,,false,统御学派,
harmony school,noun,,false,调谐学派,
Gaia's Chosen,noun,,false,盖亚神选,
force mage,noun,,false,原力法师,
radiation mage,noun,,false,辐射法师,
gravity mage,noun,,false,重力法师,
decayed pouncer||decayed pouncers,noun,,false,腐朽突袭兽,
skeletal wolf,noun,,false,骷髅狼,
barghest,noun,,false,犬魔,
hulking horror,noun,,false,恐怖巨犬,
spearcat hunter,noun,,false,矛猫猎手,
amigara,noun,,false,阿弥壳,
hunting horror,noun,,false,恐怖猎手,
antlered horror,noun,,false,恐怖鹿角兽,
blistered horror,noun,,false,脓疱恐兽,
headless horror,noun,,false,恐怖无头怪,
everglow matrix lamp,noun,,false,永光矩阵灯,
archeotech,noun,,false,古代科技,
vacuum-cast carbide,noun,,false,真空铸造碳化物,
nanoprinted alloy,noun,,false,纳米打印合金,
nanoprinted alloy mesh,noun,,false,纳米打印合金网,
Izhevsk,noun,,false,伊热夫斯克,
motion detector,noun,,false,运动探测器,
locker room,,,false,更衣室,
Likvidator||Likvidators,,"""Likvidator""，负责清理切尔诺贝利事故的“清理者”。见英语维基词条Chernobyl Liquidator",false,清理者,
Udarnik||Udarniks,,苏联词汇，字面意义为“震撼工人”，中国人熟悉的“劳模”。,false,劳模,
Brandspojt||Brandspojts,,俄语：救火机，可移手压泵，救火水龙头，消火泵，〔阳〕消防泵。（消防）喷嘴。,false,救火机,
jackhammer||jackhammers,,,false,冲击钻,
Transparent Impact Resistant Plastic,,,false,透明抗冲击塑料,
Vapor Deposition Machine,,,false,气相沉积机,
spectrophotometer,noun,,false,分光光度计,
SBR,,,false,SBR,
dimensional,adjective,,false,次元,
dreamforged,adjective,,false,梦铸,
hacksaw,adjective,,false,钢锯,
Halligan bar||Halligan bars,,,false,消防破拆棍,
locking plier,,,false,锁定钳,
pickaxe,,,false,鹤嘴锄,
locksmith kit||locksmith kits,,,false,撬锁工具,
glaive||glaives,,,false,长柄刀,
inventor,,,false,发明家,
cold iron,,,false,寒铁,
stab,,,false,刺击,
electric motor||electric motors,,,false,电力引擎,
bpm,noun,,false,,
tortoise,noun,,false,,
overgrown,adjective,,false,,
bloomery,noun,,false,,
bog iron,noun,,false,,
hammer-axe,noun,,false,,
radio repeater mods,pronoun,,false,无线中继模块,
vein,noun,,false,,
rainforest,noun,,false,,
grav chute,noun,,false,,
parry,noun,,false,,
fusillies,noun,,false,,
mobbings,noun,,false,,
AoE,noun,,true,,
fibercloth,noun,,false,,
Vancian,adjective,,false,万西安,
dross,noun,,false,浮梦残渣,
vicious,adjective,,false,,
honeydew,noun,,false,,
glimmer fur,noun,,false,,
redcap,noun,,false,,
scraps of,noun,,false,,
pooka,noun,,false,,
ledge,noun,"一般是对游戏内""tr_ledge""陷阱的描述，这种陷阱是""open air""之类的方格的自带陷阱，因此对应地形边缘或者空中区域。",false,,
stepladder,noun,,false,摺梯,
NRE recorder,,,false,,
aventail,,,false,,
safehouse,noun,,false,,
unseelie,noun,,false,,
greaves,,,false,,
dreamdross,noun,,false,,
dread,noun,,false,,
Primal Terror,noun,,false,,
Expert,noun,,false,,
Beginner,noun,,false,,
Master,noun,,false,,
archer's form,noun,,false,,
martial arts,,,false,,
competent,,,false,,
large rock,,,false,,
broken glass,noun,,false,,
planks,noun,,false,,
short planks,noun,,false,,
long planks,noun,,false,,
rebars,noun,,false,,
stockings,noun,,false,长筒袜,
whiskflower,noun,,false,,
moonflower,noun,,false,,
bracers,,,false,,
Familiarity,,,false,熟练,
Mastery,,,false,大师,
(beginner),,,false,（入门）,
beginner,,,false,,
Proficiency,,,true,专家,
(intermediate),noun,,false,（中级）,
fried,,,false,,
cooked,,,false,,
boiled,,,false,,
baked,,,false,,
stewed,,,false,,
dehydrated,,,false,,
matchhead powder,,,false,,
disconnected,,,false,,
foot locker,,,false,,
planer,,,false,,
jointer,,,false,,
planers,,,false,,
armed,,,false,,
hardened steel,,,false,,
grinder blade||grinder blades,,,false,,
circular sawblade,,,false,,
circular saw,,,false,,
lump of||lumps of,,,false,块,
chunk of||chunks of,,,false,,
Rhode Island,noun,,false,罗得岛,
star vampire,noun,,false,星之精,
blast,noun,,false,,
Anglic,noun,,false,,
chirurgery,noun,,false,,
Electrokinetic,noun,,false,驱电者,
Clairsentient,noun,,false,超感者,
Biokinetic,noun,,false,炼体者,
Grandmaster,noun,,false,宗师,
Enthusiast,noun,,false,爱好者,
Photokinetic,noun,,true,祈光者,
Pyrokinetic,noun,,true,焰动者,
Telekinetic,noun,,true,念动者,
Telepath,noun,,true,传心者,
Teleporter,noun,,true,传送者,
Vitakinetic,noun,,true,疗愈者,
telepathy,noun,,false,心灵感应,
telepathic attack,noun,,false,心灵攻击,
matrix crystal,noun,,false,矩阵晶体,
electrokinesis,noun,,false,驱电,
photokinesis,noun,,false,控光,
Telekinetic Force,noun,,false,念动力,
Growing up,noun,,false,长大,
strike in melee,,,false,使用武器攻击,
reduce the strength of,,,false,减弱,
targeting,noun,,false,,
Nether Attunemen,noun,,false,异界同调,
nether-attunement,noun,,false,异界同调,
Oubliette,noun,,true,异界监牢,
Healthy Glow,noun,,true,治愈光辉,
Anabolic Rejuvenation,noun,,true,极速自愈,
Sealed System,,,true,封闭躯体,
Intuitive Artisan,,,true,匠人直觉,
Show Jump,noun,,false,,
velociraptor,noun,,false,伶盗龙,
spinosaurus,noun,,false,剑龙,
iguanodon,noun,,false,禽龙,
carnotaurus,noun,,false,食肉牛龙,
plateosaurus,noun,,false,板龙,
elasmosaurus,noun,,false,薄片龙,
kronosaurus,noun,,false,克柔龙,
tylosaurus,noun,,false,海王龙,
plesiosaurus,noun,,false,蛇颈龙,
suchomimus,noun,,false,似鳄龙,
baryonix,noun,,false,重爪龙,
plushie,noun,,false,毛绒玩具,
sanctacaris,noun,,false,多须虫,
laptop,noun,,false,,
armadura,,,false,,
computer,noun,,false,,
…,interjection,,false,,
Rapture,noun,,false,,
Arvore,,,false,,
Undine,,,false,,
Salamander,,,false,,
Homullus,,,false,,
Sylph,,,false,,
Ierde,,,false,,
gossamer,,,false,,
topaz,noun,,false,蓝黄玉,
The Malignance,,,false,魔瘤,
Vitakinesis,,,false,疗愈,
teleportation,,,false,传送,
telekinesis,,,false,念动,
pyrokinesis,,,false,焰动,
clairsentience,,,false,灵视,
biokinesis,,,false,炼体,
Corpses||Corpse,noun,,false,,
Flaming,adjective,,false,,
fungal,adjective,,false,,
